title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
The In Between,The In Between,0,"['Romance', 'Science Fiction', 'Drama']",en,['English'],https://www.netflix.com/title/81447264,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",37.68,116,0,2022-02-11,7.378,684,['United States of America']
Book of Love,Book of Love,0,"['Comedy', 'Romance', 'Drama']",en,"['English', 'Spanish', 'Portuguese']",,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",9.604,106,398876,2022-01-06,5.6,117,"['Mexico', 'United Kingdom', 'United States of America']"
Lingui: The Sacred Bonds,Lingui : les liens sacrés,0,['Drama'],fr,"['Arabic', 'French']",,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law. In the process, mother and daughter forge a connection stronger than any they’ve ever known.",10.976,88,0,2021-12-08,6.703,32,"['Germany', 'Belgium', 'Chad', 'France']"
The Pink Cloud,A Nuvem Rosa,0,"['Drama', 'Science Fiction']",pt,['Portuguese'],,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart.",6.454,105,0,2021-04-01,6.0,30,['Brazil']
A Journal for Jordan,A Journal for Jordan,25000000,"['Drama', 'Romance']",en,['English'],https://www.sonypictures.com/movies/ajournalforjordan,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.",17.584,131,6700000,2021-12-22,7.0,109,"['Canada', 'United States of America']"
West Side Story,West Side Story,100000000,"['Drama', 'Romance', 'Crime']",en,"['English', 'Spanish']",https://www.20thcenturystudios.com/movies/west-side-story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",27.586,156,76016171,2021-12-08,6.999,1491,['United States of America']
Love Is in the Green Wind,恋は緑の風の中,0,['Drama'],ja,['Japanese'],,A youthful film depicting the sexual awakening of a boy who has just entered adolescence and his heartbreaking romance during the summer holidays with a young sprightly girl.,24.631,93,0,1974-11-23,10.0,1,['Japan']
Love Hard,Love Hard,0,"['Comedy', 'Romance']",en,['English'],https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",14.789,105,0,2021-11-05,6.952,1428,['United States of America']
Bergman Island,Bergman Island,0,"['Drama', 'Romance']",en,"['German', 'English', 'Swedish']",https://www.ifcfilms.com/films/bergman-island,"An English-German filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.",10.278,113,589895,2021-07-14,6.164,186,"['Belgium', 'France', 'Germany', 'Mexico', 'Sweden']"
Hard Luck Love Song,Hard Luck Love Song,0,"['Romance', 'Music', 'Drama', 'Thriller']",en,"['English', 'Spanish']",http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",6.891,104,0,2021-10-15,4.3,12,['United States of America']
